Date,Time,H2O,OilTemp,H2,Status
10/15/2023,1:21:51,4,34.4,7553,1
10/15/2023,1:22:51,4,34.5,7555,1
10/15/2023,1:23:51,4,34.5,7560,1
10/15/2023,1:24:51,4,34.6,7562,1
10/15/2023,1:25:51,4,34.6,7559,1
10/15/2023,1:26:51,4,34.6,7561,1
10/15/2023,1:27:51,4,34.7,7566,1
10/15/2023,1:28:51,4,34.7,7564,1
10/15/2023,1:29:51,4,34.8,7564,1
10/15/2023,1:30:51,4,34.8,7563,1
10/15/2023,1:31:51,4,34.8,7559,1
10/15/2023,1:32:51,4,34.8,7562,1
10/15/2023,1:33:51,4,34.9,7562,1
10/15/2023,1:34:51,4,34.9,7559,1
10/15/2023,1:35:51,4,35,7557,1
10/15/2023,1:36:51,4,35,7559,1
10/15/2023,1:37:51,4,35,7562,1
10/15/2023,1:38:51,4,35,7560,1
10/15/2023,1:39:51,4,35,7565,1
10/15/2023,1:40:51,4,35.1,7561,1
10/15/2023,1:41:51,4,35.1,7558,1
10/15/2023,1:42:51,4,35.1,7561,1
10/15/2023,1:43:51,4,35.1,7564,1
10/15/2023,1:44:51,3,35.2,7560,0
10/15/2023,1:45:51,3,35.2,7555,0
10/15/2023,1:46:51,3,35.2,7553,0
10/15/2023,1:47:51,3,35.3,7550,0
10/15/2023,1:48:51,3,35.3,7430,0
10/15/2023,1:49:51,3,35.3,7420,0
10/15/2023,1:50:51,3,35.3,7320,0
10/15/2023,1:51:51,3,35.4,7290,0
10/15/2023,1:52:51,3,35.4,7239,0
10/15/2023,1:53:51,3,35.5,7609,0
10/15/2023,1:54:51,3,35.5,7609,0
10/15/2023,1:55:51,3,35.5,7613,0
10/15/2023,1:56:51,3,35.6,7607,0
10/15/2023,1:57:51,3,35.6,7605,0
10/15/2023,1:58:51,3,35.6,7610,0
10/15/2023,1:59:51,3,35.7,7609,0
10/15/2023,2:00:51,3,35.7,7609,0
10/15/2023,2:01:51,4,35.7,7613,0
10/15/2023,2:02:51,4,35.7,7607,0
10/15/2023,2:03:51,3,35.7,7605,0
10/15/2023,2:04:51,4,35.8,7610,0
10/15/2023,2:05:51,4,35.8,7606,0
10/15/2023,2:06:51,4,35.9,7608,0
10/15/2023,2:07:50,4,35.9,7606,0
10/15/2023,2:08:50,4,35.9,7605,0
10/15/2023,2:09:50,4,35.9,7603,0
10/15/2023,2:10:50,4,35.9,7605,0
10/15/2023,2:11:50,4,35.9,7601,0
10/15/2023,2:12:50,4,36,7602,0
10/15/2023,2:13:50,4,36,7605,0
10/15/2023,2:14:50,4,36,7611,0
10/15/2023,2:15:50,4,36,7608,0
10/15/2023,2:16:50,4,36,7603,0
10/15/2023,2:17:50,4,36,7604,0
10/15/2023,2:18:50,4,36.1,7603,0
10/15/2023,2:19:50,4,36.1,7599,0
10/15/2023,2:20:50,4,36.1,7601,0
10/15/2023,2:21:50,4,36.2,7601,0
10/15/2023,2:22:50,4,36.2,7601,1
10/15/2023,2:23:50,4,36.2,7600,1
10/15/2023,2:24:50,4,36.2,7601,1
10/15/2023,2:25:50,4,36.2,7603,1
10/15/2023,2:26:50,4,36.2,7601,1
10/15/2023,2:27:50,4,36.3,7599,1
10/15/2023,2:28:50,4,36.3,7601,1
10/15/2023,2:29:50,4,36.4,7601,1
10/15/2023,2:30:50,4,36.4,7602,1
10/15/2023,2:31:50,4,36.4,7605,1
10/15/2023,2:32:50,4,36.4,7604,1
10/15/2023,2:33:50,4,36.5,7602,1
10/15/2023,2:34:50,4,36.5,7602,1
10/15/2023,2:35:50,4,36.6,7596,1
10/15/2023,2:36:50,4,36.6,7598,1
10/15/2023,2:37:50,4,36.6,7597,1
10/15/2023,2:38:50,4,36.6,7597,1
10/15/2023,2:39:50,4,36.6,7599,1
10/15/2023,2:40:50,4,36.7,7601,1
10/15/2023,2:41:50,4,36.7,7598,1
10/15/2023,2:42:50,4,36.7,7598,1
10/15/2023,2:43:50,4,36.7,7600,1
10/15/2023,2:44:50,4,36.7,7601,1
10/15/2023,2:45:50,4,36.8,7601,1
10/15/2023,2:46:50,4,37.3,7601,1
10/15/2023,2:47:50,4,39.2,7601,1
10/15/2023,2:48:50,4,41.2,7601,1
10/15/2023,2:49:50,4,42.5,7601,1
10/15/2023,2:50:50,4,43.4,7601,1
10/15/2023,2:51:50,4,44.1,7601,1
10/15/2023,2:52:50,4,44.8,7601,1
10/15/2023,2:53:50,4,45.3,7601,1
10/15/2023,2:54:50,4,45.7,7601,1
10/15/2023,2:55:50,4,46.1,7601,1
10/15/2023,2:56:50,4,46.5,7588,1
10/15/2023,2:57:50,4,46.8,7571,1
10/15/2023,2:58:50,4,47.1,7562,1
10/15/2023,2:59:50,4,47.4,7554,1
10/15/2023,3:00:50,4,47.8,7550,1
10/15/2023,3:01:50,4,48,7551,1
10/15/2023,3:02:50,4,48.3,7549,1
10/15/2023,3:03:50,4,48.5,7547,1
10/15/2023,3:04:50,4,48.7,7543,1
10/15/2023,3:05:50,4,48.9,7539,1
10/15/2023,3:06:50,4,49.1,7538,1
10/15/2023,3:07:50,4,49.2,7534,1
10/15/2023,3:08:50,4,49.4,7529,1
10/15/2023,3:09:50,4,49.6,7526,1
10/15/2023,3:10:50,4,49.7,7522,1
10/15/2023,3:11:50,4,49.8,7523,1
10/15/2023,3:12:50,4,49.9,7518,1
10/15/2023,3:13:50,4,50,7522,1
10/15/2023,3:14:50,4,50.1,7523,1
10/15/2023,3:15:50,4,50.2,7524,1
10/15/2023,3:16:50,4,50.3,7523,1
10/15/2023,3:17:50,4,50.3,7526,1
10/15/2023,3:18:50,4,50.5,7523,1
10/15/2023,3:19:50,4,50.5,7521,1
10/15/2023,3:20:50,4,50.3,7519,1
10/15/2023,3:21:50,4,50.3,7520,1
10/15/2023,3:22:50,4,50.3,7526,1
10/15/2023,3:23:50,4,50.2,7528,1
10/15/2023,3:24:50,4,50.2,7526,1
10/15/2023,3:25:50,4,50.2,7528,1
10/15/2023,3:26:50,4,50.2,7529,1
10/15/2023,3:27:50,4,50.2,7525,1
10/15/2023,3:28:50,4,50.3,7521,1
10/15/2023,3:29:50,4,50.3,7522,1
10/15/2023,3:30:50,4,50.3,7524,1
10/15/2023,3:31:50,4,50.3,7523,1
10/15/2023,3:32:50,4,50.4,7522,1
10/15/2023,3:33:50,4,50.4,7520,1
10/15/2023,3:34:50,4,50.5,7521,1
10/15/2023,3:35:50,4,50.4,7519,1
10/15/2023,3:36:50,4,50.3,7518,1
10/15/2023,3:37:50,4,50.2,7521,1
10/15/2023,3:38:50,4,50.2,7521,1
10/15/2023,3:39:50,4,50.2,7521,1
10/15/2023,3:40:50,4,50.1,7522,1
10/15/2023,3:41:50,4,50.2,7521,1
10/15/2023,3:42:50,4,50.2,7523,1
10/15/2023,3:43:50,4,50.2,7526,1
10/15/2023,3:44:50,4,50.2,7523,1
10/15/2023,3:45:50,4,50.2,7523,1
10/15/2023,3:46:50,4,50.2,7523,1
10/15/2023,3:47:50,4,50.2,7523,1
10/15/2023,3:48:50,4,50.2,7523,1
10/15/2023,3:49:50,4,50.2,7523,1
10/15/2023,3:50:50,4,50.2,7523,1
10/15/2023,3:51:50,4,50.2,7523,1
10/15/2023,3:52:50,4,50.2,7523,1
10/15/2023,3:53:50,4,50.3,7523,1
10/15/2023,3:54:50,4,50.3,7523,1
10/15/2023,3:55:50,4,50.3,7523,1
10/15/2023,3:56:50,4,50.3,7524,1
10/15/2023,3:57:50,4,50.3,7517,1
10/15/2023,3:58:50,4,50.3,7519,1
10/15/2023,3:59:50,4,50.4,7522,1
10/15/2023,4:00:50,4,50.4,7523,1
10/15/2023,4:01:50,4,50.5,7523,1
10/15/2023,4:02:50,4,50.3,7519,1
10/15/2023,4:03:50,4,50.2,7520,1
10/15/2023,4:04:50,4,50.2,7518,1
10/15/2023,4:05:49,4,50.2,7517,1
10/15/2023,4:06:49,4,50.1,7521,1
10/15/2023,4:07:49,4,50.1,7521,1
10/15/2023,4:08:49,4,50.1,7522,1
10/15/2023,4:09:49,4,50.1,7518,1
10/15/2023,4:10:49,4,50.1,7523,1
10/15/2023,4:11:49,4,50.2,7522,1
10/15/2023,4:12:49,4,50.2,7516,1
10/15/2023,4:13:49,4,50.2,7516,1
10/15/2023,4:14:49,4,50.2,7513,1
10/15/2023,4:15:49,4,50.3,7515,1
10/15/2023,4:16:49,4,50.3,7520,1
10/15/2023,4:17:49,4,50.3,7517,1
10/15/2023,4:18:49,4,50.3,7517,1
10/15/2023,4:19:49,4,50.3,7520,1
10/15/2023,4:20:49,4,50.4,7522,1
10/15/2023,4:21:49,4,50.4,7516,1
10/15/2023,4:22:49,4,50.4,7523,1
10/15/2023,4:23:49,4,50.4,7519,1
10/15/2023,4:24:49,4,50.4,7518,1
10/15/2023,4:25:49,4,50.4,7519,1
10/15/2023,4:26:49,4,50.5,7520,1
10/15/2023,4:27:49,4,50.3,7521,1
10/15/2023,4:28:49,4,50.2,7517,1
10/15/2023,4:29:49,4,50.2,7520,1
10/15/2023,4:30:49,4,50.2,7520,1
10/15/2023,4:31:49,4,50.1,7517,1
10/15/2023,4:32:49,4,50.1,7519,1
10/15/2023,4:33:49,4,50.1,7519,1
10/15/2023,4:34:49,4,50.2,7516,1
10/15/2023,4:35:49,4,50.2,7517,1
10/15/2023,4:36:49,4,50.2,7517,1
10/15/2023,4:37:49,4,50.1,7520,1
10/15/2023,4:38:49,4,50.1,7519,1
10/15/2023,4:39:49,4,50.1,7513,1
10/15/2023,4:40:49,4,50.1,7515,1
10/15/2023,4:41:49,4,50.2,7518,1
10/15/2023,4:42:49,4,50.2,7519,1
10/15/2023,4:43:49,4,50.2,7519,1
10/15/2023,4:44:49,4,50.2,7519,1
10/15/2023,4:45:49,4,50.2,7520,1
10/15/2023,4:46:49,4,50.2,7520,1
10/15/2023,4:47:49,4,50.2,7520,1
10/15/2023,4:48:49,4,50.2,7520,1
10/15/2023,4:49:49,4,50.2,7520,1
10/15/2023,4:50:49,4,50.2,7520,1
10/15/2023,4:51:49,4,50.2,7520,1
10/15/2023,4:52:49,4,50.2,7520,1
10/15/2023,4:53:49,4,50.2,7520,1
10/15/2023,4:54:49,4,50.2,7520,1
10/15/2023,4:55:49,4,50.2,7520,1
10/15/2023,4:56:49,4,50.2,7520,1
10/15/2023,4:57:49,4,50.2,7520,1
10/15/2023,4:58:49,4,50.2,7520,1
10/15/2023,4:59:49,4,50.2,7520,1
10/15/2023,5:00:49,4,50.2,7520,1
10/15/2023,5:01:49,4,50.2,7520,1
10/15/2023,5:02:49,4,50.2,7520,1
10/15/2023,5:03:49,4,50.2,7520,1
10/15/2023,5:04:49,4,50.2,7520,1
10/15/2023,5:05:49,4,50.2,7520,1
10/15/2023,5:06:49,4,50.2,7520,1
10/15/2023,5:07:49,4,50.2,7520,1
10/15/2023,5:08:49,4,50.2,7520,1
10/15/2023,5:09:49,4,50.3,7520,1
10/15/2023,5:10:49,4,50.3,7520,1
10/15/2023,5:11:49,4,50.3,7520,1
10/15/2023,5:12:49,4,50.3,7520,1
10/15/2023,5:13:49,4,50.3,7520,1
10/15/2023,5:14:49,4,50.3,7520,1
10/15/2023,5:15:49,4,50.4,7520,1
10/15/2023,5:16:49,5,50.4,7520,1
10/15/2023,5:17:49,5,50.5,7520,1
10/15/2023,5:18:49,4,50.4,7520,1
10/15/2023,5:19:49,5,50.3,7520,1
10/15/2023,5:20:49,5,50.2,7520,1
10/15/2023,5:21:49,5,50.2,7520,1
10/15/2023,5:22:49,5,50.2,7520,1
10/15/2023,5:23:49,5,50.2,7520,1
10/15/2023,5:24:49,5,50.2,7520,1
10/15/2023,5:25:49,5,50.2,7520,1
10/15/2023,5:26:49,5,50.2,7520,1
10/15/2023,5:27:49,5,50.2,7520,1
10/15/2023,5:28:49,5,50.2,7520,1
10/15/2023,5:29:49,5,50.2,7520,1
10/15/2023,5:30:49,5,50.2,7520,1
10/15/2023,5:31:49,5,50.2,7520,1
10/15/2023,5:32:49,5,50.3,7520,1
10/15/2023,5:33:49,5,50.3,7520,1
10/15/2023,5:34:49,5,50.3,7520,1
10/15/2023,5:35:49,5,50.3,7520,1
10/15/2023,5:36:49,5,50.3,7520,1
10/15/2023,5:37:49,5,50.3,7520,1
10/15/2023,5:38:49,5,50.3,7520,1
10/15/2023,5:39:49,5,50.2,7520,1
10/15/2023,5:40:49,5,50.3,7520,1
10/15/2023,5:41:49,5,50.3,7520,1
10/15/2023,5:42:49,5,50.3,7520,1
10/15/2023,5:43:49,5,50.3,7520,1
10/15/2023,5:44:49,5,50.3,7520,1
10/15/2023,5:45:49,5,50.3,7520,1
10/15/2023,5:46:49,5,50.3,7520,1
10/15/2023,5:47:49,5,50.3,7520,1
10/15/2023,5:48:49,5,49.3,7520,1
10/15/2023,5:49:49,5,48.5,7520,1
10/15/2023,5:50:48,5,47.9,7520,1
10/15/2023,5:51:48,5,47.4,7520,1
10/15/2023,5:52:48,5,47.1,7520,1
10/15/2023,5:53:48,5,46.8,7520,1
10/15/2023,5:54:48,5,46.6,7520,1
10/15/2023,5:55:48,5,46.4,7520,1
10/15/2023,5:56:48,5,46.1,7520,1
10/15/2023,5:57:48,5,46,7520,1
